"NOME_MUNICIPIO";"RENDA";"EDUCACAO";"SOBREVIVENCIA";"INFRAESTRUTURA";"Acesso a informação";"HABITACAO";"MOBILIDADE";"MIQL-M";"MIQL-T"
"Barbosa";0.5236851731;0.6747076138;0.917715447;0.7791442324;0.602986222;0.9157476891;0.829116;0.7201658143;0.7348063506
"Bariri";0.5454375003;0.7064957249;0.946884944;0.8849539734;0.7461584751;0.9420381306;0.882922;0.7810197162;0.7948233508
"Barra Bonita";0.5519852928;0.7355323803;0.9546822184;0.9229047295;0.7454839636;0.9508126408;0.870986;0.7955724035;0.8059321683
"Barra do Chapéu";0.483623187;0.6884747977;0.9210131163;0.5267390029;0.529823097;0.8796354817;0.819692;0.6498029521;0.6717250426
"Barra do Turvo";0.4973128646;0.6595855978;0.8972635837;0.5068541198;0.512513903;0.8814492636;0.897291;0.6379223358;0.6697832909
"Barretos";0.5494512113;0.7419802485;0.9417676635;0.8983667225;0.7052124666;0.9356163196;0.875247;0.7813688854;0.7941368157
"Barrinha";0.5357526051;0.692584613;0.9291381545;0.8805088035;0.6668154865;0.9271625633;0.790002;0.7566623334;0.761337583
"Barueri";0.53146061;0.739978454;0.943846122;0.908793685;0.715752364;0.907563958;0.74291;0.7764546837;0.7715714102
"Bastos";0.5299098398;0.7158061545;0.9509055592;0.7969296281;0.6909378041;0.9430943987;0.913471;0.7564115449;0.7770757917
"Batatais";0.5480475739;0.7227577653;0.9426084574;0.8799388726;0.7235882257;0.9378241973;0.839934;0.7786960371;0.787163063
"Bauru";0.5572040546;0.7569068963;0.9421344939;0.9176860846;0.7494573363;0.8952875931;0.841577;0.7908525945;0.7979073135
"Bebedouro";0.5433161337;0.7339932486;0.9452651215;0.9011313284;0.7214650547;0.9379920115;0.888915;0.7826786215;0.7970400635
"Bento de Abreu";0.5341114712;0.7264736201;0.9487006867;0.8078550711;0.6720859459;0.9471830612;0.848491;0.7577550864;0.770097603
"Bernardino de Campos";0.5343431556;0.7028707162;0.9315270184;0.8398070823;0.6648509087;0.9328754378;0.898534;0.7529562959;0.7722113158
"Bertioga";0.5367095939;0.7005215237;0.935725306;0.7246899109;0.6419082701;0.8930350697;0.859512;0.7257724628;0.7435215349
"Bilac";0.5464643916;0.7311364892;0.9252951719;0.8379810299;0.6863528769;0.9518680678;0.888655;0.7662429724;0.7826394675
"Birigui";0.5459558667;0.7341914896;0.945225821;0.8947165007;0.698398246;0.9450611615;0.904164;0.7791573295;0.7958970261
"Biritiba-Mirim";0.510283853;0.703055576;0.922280604;0.733768797;0.642933286;0.880524839;0.78107;0.7183816329;0.7270192275
"Boa Esperança do Sul";0.5265678003;0.6745552031;0.9312635213;0.8166216328;0.6578208227;0.9217553699;0.795152;0.7396871827;0.7473673176
"Bocaina";0.5487582192;0.7114193603;0.9399390385;0.8846889583;0.7363969378;0.931819046;0.904609;0.7785863071;0.7954529489
"Bofete";0.5284334637;0.6940649641;0.9250236466;0.632219228;0.6338809249;0.9271741148;0.848441;0.7081033653;0.7266319903
"Boituva";0.5462389678;0.729663212;0.935087382;0.8181732554;0.6964352164;0.9274081003;0.879688;0.7627678313;0.7784673667
"Bom Jesus dos Perdões";0.5343867143;0.7007812431;0.9357566931;0.7774419758;0.6805783654;0.8952169465;0.863786;0.7413317157;0.7577001579
"Bom Sucesso de Itararé";0.4886185141;0.6689542484;0.8865859041;0.6842057559;0.5372355769;0.8734247699;0.851415;0.6731482042;0.6961238162
"Borá";0.533562527;0.7640471457;0.9435441203;0.7430546202;0.7398380254;0.9348621473;0.820718;0.7632417332;0.7711993573
"Boracéia";0.5417135718;0.7053651822;0.9496566235;0.8200469849;0.6641705536;0.9544560072;0.902899;0.7573049012;0.7765698757
"Borborema";0.533953607;0.7063399359;0.9335754838;0.8071946663;0.6711041927;0.949604045;0.88206;0.752193517;0.7695038664
"Borebi";0.5215781581;0.6839009075;0.929352812;0.7667434741;0.6395776251;0.9268585505;0.864351;0.7294715088;0.7473676687
"Botucatu";0.5545631658;0.7561036624;0.9409229148;0.8910526623;0.7422915209;0.935183264;0.872454;0.7905150955;0.8017317405
"Bragança Paulista";0.5489718661;0.7433104844;0.940964631;0.8234656472;0.7334920285;0.9248923908;0.841566;0.7736970772;0.7830467703
"Braúna";0.5393255822;0.6963758631;0.94090599;0.7821047492;0.6447672897;0.9607229208;0.831522;0.7451628116;0.7569276974
"Brejo Alegre";0.5305702047;0.7002638788;0.9286989274;0.7757119158;0.6414518508;0.9489873254;0.855946;0.7390390909;0.7547075421
"Brodowski";0.5436897833;0.7073382465;0.9465754141;0.8893593209;0.698730471;0.9513495805;0.818311;0.7741232325;0.7802865888
"Brotas";0.5406371904;0.7033265669;0.9376301771;0.8475025187;0.7105265772;0.9396133641;0.863729;0.7658214112;0.7790974622
"Buri";0.4999758742;0.6796004852;0.9251620597;0.7208729611;0.5978042138;0.9073803446;0.831942;0.7051333731;0.7219905681
"Buritama";0.540627226;0.7174827673;0.9367192752;0.8252444641;0.667083461;0.939456216;0.866297;0.7568207492;0.7715694061
