NomeMun;SiglaUF;DIVUR_N3;Latitude;Longitude
Carmo do Rio Claro;MG;Passos;-20,97;-46,11
Carmópolis de Minas;MG;Belo Horizonte;-20,54;-44,63
Carneirinho;MG;Iturama;-19,69;-50,68
Carrancas;MG;Lavras;-21,48;-44,64
Carvalhópolis;MG;Alfenas;-21,77;-45,84
Carvalhos;MG;Caxambu;-22;-44,46
Casa Grande;MG;Conselheiro Lafaiete;-20,79;-43,93
Cascalho Rico;MG;Uberlândia;-18,57;-47,87
Cássia;MG;Franca;-20,58;-46,92
Conceição da Barra de Minas;MG;São João del Rei;-21,12;-44,47
Cataguases;MG;Cataguases;-21,38;-42,69
Catas Altas;MG;Belo Horizonte;-20,07;-43,4
Catas Altas da Noruega;MG;Conselheiro Lafaiete;-20,69;-43,49
Catuji;MG;Teófilo Otoni;-17,31;-41,51
Catuti;MG;Janaúba;-15,35;-42,96
Caxambu;MG;Caxambu;-21,97;-44,93
Cedro do Abaeté;MG;Abaeté;-19,14;-45,71
Central de Minas;MG;Governador Valadares;-18,76;-41,3
Centralina;MG;Uberlândia;-18,58;-49,19
Chácara;MG;Juiz de Fora;-21,67;-43,22
Chalé;MG;Manhuaçu;-20,04;-41,68
Chapada do Norte;MG;Turmalina;-17,08;-42,53
Chapada Gaúcha;MG;Montes Claros;-15,3;-45,61
Chiador;MG;Três Rios;-22;-43,05
Cipotânea;MG;Barbacena;-20,9;-43,36
Claraval;MG;Franca;-20,39;-47,26
Claro dos Poções;MG;Montes Claros;-17,08;-44,2
Cláudio;MG;Divinópolis;-20,44;-44,76
Coimbra;MG;Viçosa;-20,85;-42,8
Coluna;MG;Guanhães;-18,23;-42,84
Comendador Gomes;MG;Frutal;-19,69;-49,08
Comercinho;MG;Salinas;-16,29;-41,79
Conceição da Aparecida;MG;Alfenas;-21,09;-46,2
Conceição das Pedras;MG;Itajubá;-22,16;-45,45
Conceição das Alagoas;MG;Uberaba;-19,91;-48,38
Conceição de Ipanema;MG;Manhuaçu;-19,92;-41,69
Conceição do Mato Dentro;MG;Belo Horizonte;-19,03;-43,42
Conceição do Pará;MG;Belo Horizonte;-19,75;-44,89
Conceição do Rio Verde;MG;São Lourenço;-21,88;-45,08
Conceição dos Ouros;MG;Pouso Alegre;-22,41;-45,79
Cônego Marinho;MG;Januária;-15,29;-44,41
Confins;MG;Belo Horizonte;-19,63;-43,98
Congonhal;MG;Pouso Alegre;-22,15;-46,03
Congonhas;MG;Congonhas;-20,5;-43,85
Congonhas do Norte;MG;Belo Horizonte;-18,8;-43,68
Conquista;MG;Uberaba;-19,93;-47,54
Conselheiro Lafaiete;MG;Conselheiro Lafaiete;-20,66;-43,78
Conselheiro Pena;MG;Governador Valadares;-19,17;-41,47
Consolação;MG;Cambuí;-22,55;-45,92
Contagem;MG;Belo Horizonte;-19,93;-44,05
Coqueiral;MG;Varginha;-21,18;-45,44
Coração de Jesus;MG;Montes Claros;-16,68;-44,36
Cordisburgo;MG;Belo Horizonte;-19,12;-44,32
Cordislândia;MG;Alfenas;-21,79;-45,7
Corinto;MG;Curvelo;-18,38;-44,45
Coroaci;MG;Governador Valadares;-18,62;-42,28
Coromandel;MG;Monte Carmelo;-18,47;-47,2
Coronel Fabriciano;MG;Ipatinga - Coronel Fabriciano - Timóteo;-19,51;-42,62
Coronel Murta;MG;Araçuaí;-16,61;-42,18
Coronel Pacheco;MG;Juiz de Fora;-21,58;-43,26
Coronel Xavier Chaves;MG;São João del Rei;-21,02;-44,22
Córrego Danta;MG;Bambuí;-19,82;-45,9
Córrego do Bom Jesus;MG;Cambuí;-22,63;-46,02
Córrego Fundo;MG;Formiga;-20,44;-45,55
Córrego Novo;MG;Caratinga;-19,83;-42,39
Couto de Magalhães de Minas;MG;Diamantina;-18,07;-43,47
Crisólita;MG;Teófilo Otoni;-17,23;-40,91
Cristais;MG;Campo Belo;-20,87;-45,51
Cristália;MG;Montes Claros;-16,8;-42,86
Cristiano Otoni;MG;Conselheiro Lafaiete;-20,83;-43,8
Cristina;MG;São Lourenço;-22,21;-45,26
Crucilândia;MG;Belo Horizonte;-20,38;-44,33
Cruzeiro da Fortaleza;MG;Patrocínio;-18,94;-46,67
Cruzília;MG;Caxambu;-21,83;-44,8
Cuparaque;MG;Mantena;-18,96;-41,09
Curral de Dentro;MG;Salinas;-15,93;-41,84
Curvelo;MG;Curvelo;-18,75;-44,43
Datas;MG;Diamantina;-18,44;-43,65
Delfim Moreira;MG;Itajubá;-22,5;-45,28
Delfinópolis;MG;Franca;-20,34;-46,85
Delta;MG;Uberaba;-19,97;-47,77
Descoberto;MG;Juiz de Fora;-21,46;-42,96
Desterro de Entre Rios;MG;Belo Horizonte;-20,66;-44,33
Desterro do Melo;MG;Barbacena;-21,14;-43,51
Diamantina;MG;Diamantina;-18,24;-43,6
Diogo de Vasconcelos;MG;Ponte Nova;-20,48;-43,19
Dionísio;MG;Ipatinga - Coronel Fabriciano - Timóteo;-19,84;-42,77
Divinésia;MG;Ubá;-20,99;-43
Divino;MG;Muriaé;-20,61;-42,14
Divino das Laranjeiras;MG;Governador Valadares;-18,77;-41,48
Divinolândia de Minas;MG;Governador Valadares;-18,8;-42,59
Divinópolis;MG;Divinópolis;-20,13;-44,88
Divisa Alegre;MG;Vitória da Conquista;-15,72;-41,34
Divisa Nova;MG;Alfenas;-21,51;-46,19
Divisópolis;MG;Vitória da Conquista;-15,72;-41
Dom Bosco;MG;Unaí;-16,65;-46,27
Dom Cavati;MG;Caratinga;-19,37;-42,1
Dom Joaquim;MG;Guanhães;-18,96;-43,25
Dom Silvério;MG;Ponte Nova;-20,16;-42,96
Dom Viçoso;MG;São Lourenço;-22,25;-45,16
Dona Eusébia;MG;Cataguases;;
Dores de Campos;MG;Barbacena;-21,1;-44,02
Dores de Guanhães;MG;Guanhães;-19,05;-42,92
Dores do Indaiá;MG;Belo Horizonte;-19,46;-45,6
Dores do Turvo;MG;Ubá;-20,97;-43,18
Doresópolis;MG;Piumhi;-20,28;-45,9
Douradoquara;MG;Monte Carmelo;-18,43;-47,6
Durandé;MG;Manhuaçu;-20,2;-41,79
Elói Mendes;MG;Varginha;-21,61;-45,56
Engenheiro Caldas;MG;Governador Valadares;-19,21;-42,04
Engenheiro Navarro;MG;Montes Claros;-17,28;-43,95
Entre Folhas;MG;Caratinga;-19,62;-42,23
Entre Rios de Minas;MG;Belo Horizonte;-20,67;-44,06
Ervália;MG;Viçosa;-20,84;-42,65
Esmeraldas;MG;Belo Horizonte;-19,76;-44,31
Espera Feliz;MG;Muriaé;-20,65;-41,9
Espinosa;MG;Janaúba;-14,92;-42,81
Espírito Santo do Dourado;MG;Pouso Alegre;-22,04;-45,95
Estiva;MG;Pouso Alegre;-22,46;-46,01
Estrela Dalva;MG;Além Paraíba;-21,74;-42,46
Estrela do Indaiá;MG;Belo Horizonte;-19,52;-45,78
Estrela do Sul;MG;Monte Carmelo;-18,74;-47,69
Eugenópolis;MG;Muriaé;-21,09;-42,18
Ewbank da Câmara;MG;Juiz de Fora;-21,55;-43,51
Extrema;MG;Bragança Paulista;-22,85;-46,31
Fama;MG;Alfenas;-21,4;-45,82
Faria Lemos;MG;Muriaé;-20,8;-42,03
Felício dos Santos;MG;Diamantina;-18,07;-43,24
São Gonçalo do Rio Preto;MG;Diamantina;-18;-43,39
Felisburgo;MG;Almenara;-16,63;-40,76
Felixlândia;MG;Curvelo;-18,75;-44,89
Fernandes Tourinho;MG;Governador Valadares;-19,15;-42,08
Ferros;MG;Itabira;-19,23;-43,02
Fervedouro;MG;Muriaé;-20,72;-42,27
Florestal;MG;Belo Horizonte;-19,88;-44,43
Formiga;MG;Formiga;-20,46;-45,42
Formoso;MG;Brasília;-14,94;-46,23
Fortaleza de Minas;MG;Passos;-20,84;-46,71
Fortuna de Minas;MG;Belo Horizonte;-19,56;-44,44
Francisco Badaró;MG;Araçuaí;-16,99;-42,35
Francisco Dumont;MG;Montes Claros;-17,31;-44,23
Francisco Sá;MG;Montes Claros;-16,47;-43,48
Franciscópolis;MG;Teófilo Otoni;-17,96;-42
Frei Gaspar;MG;Teófilo Otoni;-18,06;-41,42
Frei Inocêncio;MG;Governador Valadares;-18,54;-41,92
Frei Lagonegro;MG;Guanhães;-18,16;-42,76
Fronteira;MG;São José do Rio Preto;-20,26;-49,19
Fronteira dos Vales;MG;Águas Formosas;-16,89;-40,92
Fruta de Leite;MG;Salinas;-16,13;-42,53
Frutal;MG;Frutal;-20,02;-48,94
Funilândia;MG;Belo Horizonte;-19,36;-44,05
Galiléia;MG;Governador Valadares;-18,99;-41,53
Gameleiras;MG;Janaúba;-15,08;-43,12
Glaucilândia;MG;Montes Claros;-16,85;-43,69
Goiabeira;MG;Governador Valadares;-18,98;-41,22
Goianá;MG;Juiz de Fora;-21,53;-43,2
Gonçalves;MG;Itajubá;-22,65;-45,85
Gonzaga;MG;Governador Valadares;-18,82;-42,47
Gouveia;MG;Diamantina;;
Governador Valadares;MG;Governador Valadares;-18,85;-41,94
Grão Mogol;MG;Montes Claros;-16,55;-42,89
Grupiara;MG;Uberlândia;-18,49;-47,72
Guanhães;MG;Guanhães;-18,77;-42,93
Guapé;MG;Passos;-20,76;-45,91
Guaraciaba;MG;Ponte Nova;-20,57;-43
Guaraciama;MG;Montes Claros;-17,01;-43,67
Guaranésia;MG;Guaxupé;-21,29;-46,8
Guarani;MG;Juiz de Fora;-21,35;-43,04
Guarará;MG;Bicas;-21,73;-43,03
Guarda-Mor;MG;Patos de Minas;-17,77;-47,09
Guaxupé;MG;Guaxupé;-21,3;-46,71
Guidoval;MG;Ubá;-21,15;-42,79
Guimarânia;MG;Patos de Minas;-18,84;-46,79
Guiricema;MG;Ubá;-21;-42,71
Gurinhatã;MG;Ituiutaba;-19,21;-49,78
Heliodora;MG;Pouso Alegre;-22,06;-45,54
Iapu;MG;Ipatinga - Coronel Fabriciano - Timóteo;-19,43;-42,21
Ibertioga;MG;Barbacena;-21,43;-43,96
Ibiá;MG;Araxá;-19,47;-46,53
Ibiaí;MG;Pirapora;-16,86;-44,91
Ibiracatu;MG;Montes Claros;-15,66;-44,16
Ibiraci;MG;Franca;-20,46;-47,12
Ibirité;MG;Belo Horizonte;-20,02;-44,05
Ibitiúra de Minas;MG;Poços de Caldas;-22,06;-46,44
Ibituruna;MG;Lavras;-21,15;-44,74
Icaraí de Minas;MG;Montes Claros;-16,21;-44,9
Igarapé;MG;Belo Horizonte;-20,07;-44,3
Igaratinga;MG;Pará de Minas;-19,95;-44,7
Iguatama;MG;Formiga;-20,17;-45,71
Ijaci;MG;Lavras;-21,17;-44,92
Ilicínea;MG;Varginha;-20,93;-45,83
Imbé de Minas;MG;Caratinga;-19,59;-41,97
Inconfidentes;MG;Pouso Alegre;-22,31;-46,32
Indaiabira;MG;Salinas;-15,49;-42,19
Indianópolis;MG;Uberlândia;-19,03;-47,91
Ingaí;MG;Lavras;-21,4;-44,91
Inhapim;MG;Caratinga;-19,54;-42,12
Inhaúma;MG;Belo Horizonte;-19,49;-44,39
Inimutaba;MG;Curvelo;-18,72;-44,36
Ipaba;MG;Ipatinga - Coronel Fabriciano - Timóteo;-19,41;-42,41
Ipanema;MG;Manhuaçu;-19,8;-41,71
Ipatinga;MG;Ipatinga - Coronel Fabriciano - Timóteo;-19,46;-42,53
Ipiaçu;MG;Ituiutaba;-18,69;-49,94
Ipuiúna;MG;Pouso Alegre;-22,09;-46,19
Iraí de Minas;MG;Uberlândia;-18,98;-47,46
Itabira;MG;Itabira;-19,61;-43,22
Itabirinha;MG;Governador Valadares;;
Itabirito;MG;Belo Horizonte;-20,25;-43,8
Itacambira;MG;Montes Claros;-17,06;-43,3
Itacarambi;MG;Januária;-15,1;-44,09
Itaguara;MG;Belo Horizonte;-20,39;-44,48
Itaipé;MG;Teófilo Otoni;-17,4;-41,66
Itajubá;MG;Itajubá;-22,42;-45,45
Itamarandiba;MG;Capelinha;-17,85;-42,85
Itamarati de Minas;MG;Cataguases;-21,41;-42,81
Itambacuri;MG;Teófilo Otoni;-18,03;-41,68
Itambé do Mato Dentro;MG;Itabira;-19,41;-43,32
Itamogi;MG;São Sebastião do Paraíso;-21,07;-47,04
Itamonte;MG;São Lourenço;-22,28;-44,87
Itanhandu;MG;São Lourenço;-22,29;-44,93
Itanhomi;MG;Governador Valadares;-19,17;-41,86
Itaobim;MG;Teófilo Otoni;-16,56;-41,5
Itapagipe;MG;Frutal;-19,9;-49,38
Itapecerica;MG;Divinópolis;-20,47;-45,12
Itapeva;MG;Bragança Paulista;-22,76;-46,22
Itatiaiuçu;MG;Divinópolis;-20,19;-44,42
Itaú de Minas;MG;Passos;-20,73;-46,75
Itaúna;MG;Divinópolis;-20,07;-44,57
Itaverava;MG;Conselheiro Lafaiete;-20,67;-43,61
Itinga;MG;Araçuaí;-16,61;-41,76
Itueta;MG;Governador Valadares;-19,39;-41,17
Ituiutaba;MG;Ituiutaba;-18,96;-49,46
Itumirim;MG;Lavras;-21,31;-44,87
Iturama;MG;Iturama;-19,72;-50,19
Itutinga;MG;Lavras;-21,29;-44,65
Jaboticatubas;MG;Belo Horizonte;-19,51;-43,74
Jacinto;MG;Almenara;-16,14;-40,29
Jacuí;MG;São Sebastião do Paraíso;-21,01;-46,74
Jacutinga;MG;Pouso Alegre;-22,28;-46,61
Jaguaraçu;MG;Ipatinga - Coronel Fabriciano - Timóteo;-19,64;-42,75
Jaíba;MG;Janaúba;-15,33;-43,67
Jampruca;MG;Governador Valadares;-18,46;-41,8
Janaúba;MG;Janaúba;-15,8;-43,3
Januária;MG;Januária;-15,48;-44,36
Japaraíba;MG;Divinópolis;-20,14;-45,5
Japonvar;MG;Montes Claros;-15,99;-44,27
Jeceaba;MG;Congonhas;-20,53;-43,98
Jenipapo de Minas;MG;Araçuaí;-17,08;-42,25
Jequeri;MG;Ponte Nova;-20,45;-42,66
Jequitaí;MG;Montes Claros;-17,23;-44,44
Jequitibá;MG;Belo Horizonte;-19,23;-44,02
Jequitinhonha;MG;Almenara;-16,43;-41
Jesuânia;MG;São Lourenço;-21,99;-45,29
Joaíma;MG;Almenara;-16,65;-41,03
Joanésia;MG;Ipatinga - Coronel Fabriciano - Timóteo;-19,17;-42,67
João Monlevade;MG;João Monlevade;-19,81;-43,17
João Pinheiro;MG;Patos de Minas;-17,74;-46,17
Joaquim Felício;MG;Montes Claros;-17,75;-44,17
Jordânia;MG;Almenara;-15,9;-40,17
José Gonçalves de Minas;MG;Araçuaí;-16,9;-42,6
José Raydan;MG;Guanhães;-18,21;-42,49
Josenópolis;MG;Montes Claros;-16,54;-42,51
Nova União;MG;Belo Horizonte;-19,69;-43,58
Juatuba;MG;Belo Horizonte;-19,95;-44,34
Juiz de Fora;MG;Juiz de Fora;-21,76;-43,35
Juramento;MG;Montes Claros;-16,84;-43,58
Juruaia;MG;Guaxupé;-21,25;-46,57
Juvenília;MG;Januária;-14,26;-44,16
Ladainha;MG;Teófilo Otoni;-17,63;-41,73
Lagamar;MG;Patos de Minas;-18,17;-46,8
Lagoa da Prata;MG;Divinópolis;-20,02;-45,54
Lagoa dos Patos;MG;Montes Claros;-16,98;-44,58
Lagoa Dourada;MG;São João del Rei;-20,91;-44,07
Lagoa Formosa;MG;Patos de Minas;-18,77;-46,4
Lagoa Grande;MG;Patos de Minas;-17,83;-46,51
Lagoa Santa;MG;Belo Horizonte;-19,62;-43,89
Lajinha;MG;Manhuaçu;-20,15;-41,62
Lambari;MG;São Lourenço;-21,97;-45,35
Lamim;MG;Conselheiro Lafaiete;-20,79;-43,47
Laranjal;MG;Cataguases;-21,37;-42,47
Lassance;MG;Pirapora;-17,88;-44,57
Lavras;MG;Lavras;-21,24;-45
Leandro Ferreira;MG;Belo Horizonte;-19,71;-45,02
Leme do Prado;MG;Turmalina;-17,08;-42,69
Leopoldina;MG;Cataguases;-21,53;-42,64
Liberdade;MG;Juiz de Fora;-22,02;-44,32
Lima Duarte;MG;Juiz de Fora;-21,84;-43,79
Limeira do Oeste;MG;Iturama;-19,55;-50,58
Lontra;MG;Montes Claros;-15,9;-44,3
Luisburgo;MG;Manhuaçu;-20,44;-42,1
Luislândia;MG;Montes Claros;-16,11;-44,58
Luminárias;MG;Lavras;-21,51;-44,9
Luz;MG;Belo Horizonte;-19,8;-45,68
Machacalis;MG;Águas Formosas;-17,07;-40,71
Machado;MG;Alfenas;-21,67;-45,92
Madre de Deus de Minas;MG;São João del Rei;-21,48;-44,33
Malacacheta;MG;Teófilo Otoni;-17,84;-42,07
Mamonas;MG;Janaúba;-15,05;-42,94
Manga;MG;Janaúba;-14,75;-43,93
Manhuaçu;MG;Manhuaçu;-20,25;-42,03
Manhumirim;MG;Manhuaçu;-20,35;-41,95
Mantena;MG;Mantena;-18,78;-40,98
Maravilhas;MG;Pará de Minas;-19,51;-44,67
Mar de Espanha;MG;Juiz de Fora;-21,86;-43,01
Maria da Fé;MG;Itajubá;-22,3;-45,37
Mariana;MG;Belo Horizonte;-20,37;-43,41
Marilac;MG;Governador Valadares;-18,5;-42,08
Mário Campos;MG;Belo Horizonte;-20,05;-44,18
Maripá de Minas;MG;Bicas;-21,69;-42,95
Marliéria;MG;Ipatinga - Coronel Fabriciano - Timóteo;-19,71;-42,73
Marmelópolis;MG;Itajubá;-22,44;-45,16
Martinho Campos;MG;Belo Horizonte;-19,33;-45,23
Martins Soares;MG;Manhuaçu;-20,25;-41,87
Mata Verde;MG;Vitória da Conquista;-15,68;-40,74
Materlândia;MG;Guanhães;-18,47;-43,06
Mateus Leme;MG;Belo Horizonte;-19,98;-44,42
Matias Barbosa;MG;Juiz de Fora;-21,86;-43,31
Matias Cardoso;MG;Janaúba;-14,85;-43,92
Matipó;MG;Manhuaçu;-20,28;-42,34
Mato Verde;MG;Janaúba;-15,39;-42,86
Matozinhos;MG;Belo Horizonte;-19,55;-44,08
Matutina;MG;Patos de Minas;-19,22;-45,96
Medeiros;MG;Bambuí;-19,99;-46,22
Medina;MG;Teófilo Otoni;-16,22;-41,47
Mendes Pimentel;MG;Governador Valadares;-18,66;-41,4
Mercês;MG;Juiz de Fora;-21,19;-43,34
Mesquita;MG;Ipatinga - Coronel Fabriciano - Timóteo;-19,22;-42,6
Minas Novas;MG;Capelinha;-17,21;-42,59
Minduri;MG;Caxambu;-21,68;-44,6
Mirabela;MG;Montes Claros;-16,26;-44,16
Miradouro;MG;Muriaé;-20,89;-42,34
Miraí;MG;Muriaé;-21,19;-42,61
Miravânia;MG;Janaúba;-14,74;-44,4
Moeda;MG;Belo Horizonte;-20,33;-44,05
Moema;MG;Belo Horizonte;-19,84;-45,41
Monjolos;MG;Curvelo;-18,32;-44,11
Monsenhor Paulo;MG;Varginha;-21,75;-45,54
Montalvânia;MG;Januária;-14,42;-44,36
Monte Alegre de Minas;MG;Uberlândia;-18,87;-48,88
Monte Azul;MG;Janaúba;-15,15;-42,87
Monte Belo;MG;Guaxupé;-21,32;-46,36
Monte Carmelo;MG;Monte Carmelo;-18,72;-47,49
Monte Formoso;MG;Teófilo Otoni;-16,86;-41,25
Monte Santo de Minas;MG;São Sebastião do Paraíso;-21,19;-46,98
Montes Claros;MG;Montes Claros;-16,73;-43,86
Monte Sião;MG;Campinas;-22,43;-46,57
Montezuma;MG;Janaúba;-15,17;-42,49
Morada Nova de Minas;MG;Abaeté;-18,6;-45,35
Morro da Garça;MG;Curvelo;-18,54;-44,6
Morro do Pilar;MG;Belo Horizonte;-19,21;-43,37
Munhoz;MG;Bragança Paulista;-22,61;-46,36
Muriaé;MG;Muriaé;-21,13;-42,36
Mutum;MG;Manhuaçu;-19,8;-41,43
Muzambinho;MG;Guaxupé;-21,37;-46,52
Nacip Raydan;MG;Governador Valadares;-18,45;-42,24
Nanuque;MG;Teófilo Otoni;-17,83;-40,35
Naque;MG;Ipatinga - Coronel Fabriciano - Timóteo;-19,23;-42,32
Natalândia;MG;Unaí;-16,5;-46,49
Natércia;MG;Pouso Alegre;-22,12;-45,51
Nazareno;MG;São João del Rei;-21,21;-44,61
Nepomuceno;MG;Lavras;-21,23;-45,23
Ninheira;MG;Salinas;-15,32;-41,75
Nova Belém;MG;Mantena;-18,47;-41,01
Nova Era;MG;Ipatinga - Coronel Fabriciano - Timóteo;-19,75;-43,03
Nova Lima;MG;Belo Horizonte;-19,98;-43,84
Nova Módica;MG;Governador Valadares;-18,43;-41,5
Nova Ponte;MG;Uberlândia;-19,13;-47,68
Nova Porteirinha;MG;Janaúba;-15,8;-43,3
Nova Resende;MG;Guaxupé;-21,12;-46,42
Nova Serrana;MG;Divinópolis;-19,87;-44,98
Novo Cruzeiro;MG;Teófilo Otoni;-17,46;-41,87
Novo Oriente de Minas;MG;Teófilo Otoni;-17,41;-41,21
Novorizonte;MG;Salinas;-16,01;-42,4
Olaria;MG;Juiz de Fora;-21,86;-43,93
Olhos-d'Água;MG;Montes Claros;-17,39;-43,57
Olímpio Noronha;MG;São Lourenço;-22,06;-45,26
Oliveira;MG;Belo Horizonte;-20,69;-44,82
Oliveira Fortes;MG;Juiz de Fora;-21,33;-43,45
Onça de Pitangui;MG;Pará de Minas;-19,73;-44,8
Oratórios;MG;Ponte Nova;-20,43;-42,8
Orizânia;MG;Muriaé;-20,5;-42,21
Ouro Branco;MG;Belo Horizonte;-20,52;-43,69
Ouro Fino;MG;Pouso Alegre;-22,28;-46,36
Ouro Preto;MG;Belo Horizonte;-20,28;-43,5
Ouro Verde de Minas;MG;Teófilo Otoni;-18,07;-41,27
Padre Carvalho;MG;Montes Claros;-16,36;-42,51
Padre Paraíso;MG;Teófilo Otoni;-17,07;-41,52
Paineiras;MG;Abaeté;-18,9;-45,53
Pains;MG;Formiga;-20,37;-45,66
Pai Pedro;MG;Janaúba;-15,51;-43,06
Paiva;MG;Juiz de Fora;-21,28;-43,41
Palma;MG;Cataguases;-21,37;-42,31
Palmópolis;MG;Almenara;-16,73;-40,42
Papagaios;MG;Belo Horizonte;-19,44;-44,74
Paracatu;MG;Brasília;-17,22;-46,87
Pará de Minas;MG;Pará de Minas;-19,86;-44,6
Paraguaçu;MG;Alfenas;-21,54;-45,73
Paraisópolis;MG;Itajubá;-22,55;-45,78
Paraopeba;MG;Belo Horizonte;-19,27;-44,4
Passabém;MG;Itabira;-19,35;-43,13
Passa Quatro;MG;Cruzeiro;-22,39;-44,96
Passa Tempo;MG;Belo Horizonte;-20,65;-44,49
Passa-Vinte;MG;Volta Redonda - Barra Mansa;;
Passos;MG;Passos;-20,71;-46,61
Patis;MG;Montes Claros;-16,07;-44,08
Patos de Minas;MG;Patos de Minas;-18,57;-46,51
Patrocínio;MG;Patrocínio;-18,94;-46,99
Patrocínio do Muriaé;MG;Muriaé;-21,15;-42,21
Paula Cândido;MG;Viçosa;-20,87;-42,98
Paulistas;MG;Guanhães;-18,42;-42,86
Pavão;MG;Teófilo Otoni;-17,42;-40,99
Peçanha;MG;Guanhães;-18,54;-42,55
Pedra Azul;MG;Vitória da Conquista;-16;-41,29
Pedra Bonita;MG;Muriaé;-20,52;-42,33
Pedra do Anta;MG;Viçosa;-20,59;-42,71
Pedra do Indaiá;MG;Divinópolis;-20,25;-45,2
Pedra Dourada;MG;Muriaé;-20,83;-42,15
Pedralva;MG;Itajubá;-22,24;-45,46
Pedras de Maria da Cruz;MG;Montes Claros;-15,6;-44,39
Pedrinópolis;MG;Araxá;-19,22;-47,46
Pedro Leopoldo;MG;Belo Horizonte;-19,61;-44,04
Pedro Teixeira;MG;Juiz de Fora;-21,7;-43,74
Pequeri;MG;Juiz de Fora;-21,83;-43,12
Pequi;MG;Pará de Minas;-19,63;-44,65
Perdigão;MG;Divinópolis;-19,95;-45,08
Perdizes;MG;Araxá;-19,35;-47,29
Perdões;MG;Lavras;-21,09;-45,09
Periquito;MG;Governador Valadares;-19,15;-42,23
Pescador;MG;Governador Valadares;-18,35;-41,59
Piau;MG;Juiz de Fora;-21,5;-43,32
Piedade de Caratinga;MG;Caratinga;-19,75;-42,07
Piedade de Ponte Nova;MG;Ponte Nova;-20,24;-42,73
Piedade do Rio Grande;MG;São João del Rei;-21,46;-44,19
Piedade dos Gerais;MG;Belo Horizonte;-20,47;-44,22
Pimenta;MG;Piumhi;-20,48;-45,79
Pingo-d'Água;MG;Ipatinga - Coronel Fabriciano - Timóteo;;
Pintópolis;MG;Montes Claros;-16,05;-45,15
Piracema;MG;Belo Horizonte;-20,5;-44,48
Pirajuba;MG;Frutal;-19,9;-48,7
Piranga;MG;Conselheiro Lafaiete;-20,68;-43,3
Piranguçu;MG;Itajubá;-22,52;-45,49
Piranguinho;MG;Itajubá;-22,4;-45,53
Pirapetinga;MG;Além Paraíba;-21,65;-42,34
Pirapora;MG;Pirapora;-17,34;-44,94
Piraúba;MG;Ubá;-21,27;-43,02
Pitangui;MG;Belo Horizonte;-19,68;-44,89
Piumhi;MG;Piumhi;;
Planura;MG;Frutal;-20,13;-48,7
Poço Fundo;MG;Alfenas;-21,78;-45,96
Poços de Caldas;MG;Poços de Caldas;-21,78;-46,56
Pocrane;MG;Manhuaçu;-19,62;-41,63
Pompéu;MG;Belo Horizonte;-19,22;-44,93
Ponte Nova;MG;Ponte Nova;-20,41;-42,9
Ponto Chique;MG;Pirapora;-16,63;-45,06
Ponto dos Volantes;MG;Teófilo Otoni;-16,75;-41,5
Porteirinha;MG;Janaúba;-15,74;-43,02
Porto Firme;MG;Viçosa;-20,67;-43,08
Poté;MG;Teófilo Otoni;-17,8;-41,78
Pouso Alegre;MG;Pouso Alegre;-22,23;-45,93
Pouso Alto;MG;São Lourenço;-22,19;-44,97
Prados;MG;São João del Rei;-21,05;-44,08
Prata;MG;Uberlândia;-19,3;-48,92
Pratápolis;MG;Passos;-20,74;-46,86
Pratinha;MG;Araxá;-19,75;-46,37
Presidente Bernardes;MG;Viçosa;-20,76;-43,18
Presidente Juscelino;MG;Curvelo;-18,63;-44,05
Presidente Kubitschek;MG;Diamantina;-18,61;-43,56
Presidente Olegário;MG;Patos de Minas;-18,41;-46,41
Alto Jequitibá;MG;Manhuaçu;-20,42;-41,96
Prudente de Morais;MG;Belo Horizonte;-19,48;-44,15
Quartel Geral;MG;Abaeté;-19,27;-45,55
Queluzito;MG;Conselheiro Lafaiete;;
Raposos;MG;Belo Horizonte;-19,96;-43,8
Raul Soares;MG;Ponte Nova;-20,1;-42,45
Recreio;MG;Cataguases;-21,52;-42,46
Reduto;MG;Manhuaçu;-20,21;-41,98
Resende Costa;MG;São João del Rei;-20,92;-44,23
Resplendor;MG;Governador Valadares;-19,32;-41,25
Ressaquinha;MG;Barbacena;-21,06;-43,76
Riachinho;MG;Unaí;-16,23;-45,99
Riacho dos Machados;MG;Janaúba;-16;-43,04
Ribeirão das Neves;MG;Belo Horizonte;-19,76;-44,08
Ribeirão Vermelho;MG;Lavras;-21,19;-45,06
Rio Acima;MG;Belo Horizonte;-20,08;-43,78
Rio Casca;MG;Ponte Nova;-20,22;-42,65
Rio Doce;MG;Ponte Nova;-20,24;-42,9
Rio do Prado;MG;Almenara;-16,6;-40,57
Rio Espera;MG;Conselheiro Lafaiete;-20,85;-43,47
Rio Manso;MG;Belo Horizonte;-20,26;-44,3
Rio Novo;MG;Juiz de Fora;-21,45;-43,12
Rio Paranaíba;MG;Patos de Minas;-19,19;-46,24
Rio Pardo de Minas;MG;Salinas;-15,61;-42,54
Rio Piracicaba;MG;João Monlevade;-19,92;-43,17
Rio Pomba;MG;Juiz de Fora;-21,27;-43,17
Rio Preto;MG;Juiz de Fora;-22,08;-43,82
Rio Vermelho;MG;Guanhães;-18,29;-43
Ritápolis;MG;São João del Rei;-21,02;-44,31
Rochedo de Minas;MG;Juiz de Fora;-21,63;-43,02
Rodeiro;MG;Ubá;-21,2;-42,86
