BA;Caém;10013;10429;10282
BA;Caetanos;14926;15842;15913
BA;Caetité;47774;52166;52353
BA;Cafarnaum;17398;18489;18595
BA;Cairu;15973;17168;17457
BA;Caldeirão Grande;12658;13465;13555
BA;Camacan;31535;33068;33135
BA;Camaçari;255238;275575;281413
BA;Camamu;35366;37207;36321
BA;Campo Alegre de Lourdes;28156;29812;29877
BA;Campo Formoso;67305;71507;71900
BA;Canápolis;9395;10130;10137
BA;Canarana;24430;26006;26200
BA;Canavieiras;31902;33570;33415
BA;Candeal;8720;9143;9075
BA;Candeias;84121;89419;88308
BA;Candiba;13329;14527;14599
BA;Cândido Sales;25711;27057;26952
BA;Cansanção;33054;35029;35135
BA;Canudos;15941;16956;17070
BA;Capela do Alto Alegre;11485;12128;12123
BA;Capim Grosso;27067;28853;29107
BA;Caraíbas;9879;10292;10150
BA;Caravelas;21612;22328;22442
BA;Cardeal da Silva;9030;9611;9681
BA;Carinhanha;28519;29768;29864
BA;Casa Nova;66331;70796;71504
BA;Castro Alves;25555;27097;27194
BA;Catolândia;3215;3420;3644
BA;Catu;51734;55021;55380
BA;Caturama;8817;9760;9762
BA;Central;17057;18061;18101
BA;Chorrochó;10794;11444;11484
BA;Cícero Dantas;32470;34424;34540
BA;Cipó;15884;16860;16938
BA;Coaraci;19937;20620;20183
BA;Cocos;18235;19281;19340
BA;Conceição da Feira;20826;22226;22448
BA;Conceição do Almeida;17705;18644;18583
BA;Conceição do Coité;63033;67126;67651
BA;Conceição do Jacuípe;30717;32761;33066
BA;Conde;24103;25714;25961
BA;Condeúba;17421;18359;18312
BA;Contendas do Sincorá;4613;4354;4340
BA;Coração de Maria;22149;23314;23228
BA;Cordeiros;8245;8752;8795
BA;Coribe;14210;15024;15000
BA;Coronel João Sá;16650;17422;17256
BA;Correntina;31397;32980;33084
BA;Cotegipe;13614;14390;14396
BA;Cravolândia;5048;5341;5552
BA;Crisópolis;20199;21435;21529
BA;Cristópolis;13374;14189;14247
BA;Cruz das Almas;59470;63299;63761
BA;Curaçá;32631;34725;34974
BA;Dário Meira;12217;12721;12190
BA;Dias d'Ávila;69628;75103;76624
BA;Dom Basílio;11454;12379;12441
BA;Dom Macedo Costa;3894;4127;4140
BA;Elísio Medrado;7961;8426;8420
BA;Encruzilhada;22478;21418;20859
BA;Entre Rios;40180;42640;42828
BA;Érico Cardoso;10746;11509;11472
BA;Esplanada;33618;35930;36339
BA;Euclides da Cunha;56962;60558;60932
BA;Eunápolis;102628;110803;112032
BA;Fátima;17555;18524;18502
BA;Feira da Mata;6177;5908;5911
BA;Feira de Santana;568099;606139;612000
BA;Filadélfia;16672;17603;17593
BA;Firmino Alves;5417;5744;5766
BA;Floresta Azul;10657;11392;11352
BA;Formosa do Rio Preto;23169;24799;25074
BA;Gandu;30816;32814;33097
BA;Gavião;4510;4747;4729
BA;Gentio do Ouro;10690;11338;11381
BA;Glória;15114;16003;16039
BA;Gongogi;8031;8325;8212
BA;Governador Mangabeira;19926;21125;21198
BA;Guajeru;9182;9388;9087
BA;Guanambi;79936;84645;85237
BA;Guaratinga;21840;22583;22465
BA;Heliópolis;13099;13812;13786
BA;Iaçu;25319;26591;26382
BA;Ibiassucê;9607;10866;10679
BA;Ibicaraí;23560;24595;24303
BA;Ibicoara;17805;19071;19309
BA;Ibicuí;15650;16582;16640
BA;Ibipeba;17277;18398;18540
BA;Ibipitanga;14285;15162;15231
BA;Ibiquera;4874;5158;5149
BA;Ibirapitanga;22683;24059;24118
BA;Ibirapuã;8086;8603;8671
BA;Ibirataia;17959;18546;18348
